date, pm25, pm10, o3, no2, so2, co
2022/6/24, 111, 59, , 58, 3, 10
2022/6/25, 123, 42, , 23, 2, 
2022/6/26, 91, 7, , 5, , 1
2022/6/27, 23, 23, , 18, 1, 4
2022/6/28, 50, 44, , 36, 1, 7
2022/6/29, 85, 57, , 36, 1, 3
2022/6/30, 98, 48, , 34, 1, 6
2022/7/1, 86, 61, , 43, 1, 7
2022/1/4, 49, 25, , 23, 1, 5
2022/1/5, 61, 23, , 25, , 4
2022/1/6, 56, 17, , 17, , 1
2022/1/7, 35, 7, , 10, , 1
2022/1/8, 19, 6, , 7, , 1
2022/1/9, 18, 5, , 5, , 1
2022/1/10, 18, 21, , 21, , 2
2022/1/11, 47, 16, , 21, , 3
2022/1/12, 44, 22, , 18, , 2
2022/1/13, 50, 19, , 18, , 1
2022/1/14, 48, 27, , 27, , 3
2022/1/15, 66, 28, , 19, , 2
2022/1/16, 71, 15, , 18, , 1
2022/1/17, 39, 25, , 32, , 4
2022/1/18, 60, 28, , 32, , 3
2022/1/19, 63, 31, , 36, , 4
2022/1/20, 65, 28, , 39, , 2
2022/1/21, 58, 24, , 24, , 2
2022/1/22, 56, 24, , 16, , 2
2022/1/23, 56, 23, , 12, , 1
2022/1/24, 63, 29, , 23, , 2
2022/1/25, 72, 31, , 22, , 1
2022/1/26, 70, 29, , 34, , 3
2022/1/27, 72, 22, , 32, , 3
2022/1/28, 55, 20, , 28, , 3
2022/1/29, 50, 15, , 17, , 3
2022/1/30, 32, 11, , 22, , 2
2022/1/31, 35, 18, , 25, , 5
2022/2/1, 50, 19, , 26, , 4
2022/2/2, 49, 19, , 23, , 3
2022/2/3, 50, 20, , 22, , 3
2022/2/4, 51, 23, , 24, 1, 4
2022/2/5, 61, 19, , 18, , 2
2022/2/6, 46, 12, , 11, , 1
2022/2/7, 30, 11, , 11, , 1
2022/2/8, 28, 18, , 13, , 1
2022/2/9, 46, 18, , 11, , 1
2022/2/10, 48, 20, , 14, , 2
2022/2/11, 50, 19, , 13, , 1
2022/2/12, 40, 14, , 10, , 1
2022/2/13, 36, 11, , 9, , 1
2022/2/14, 34, 33, , 28, , 3
2022/2/15, 75, 18, , 14, , 1
2022/2/16, 50, 23, , 16, , 1
2022/2/17, 50, 26, , 21, , 4
2022/2/18, 64, 19, , , , 2
2022/2/19, 50, 20, , , , 2
2022/2/20, 54, 19, , , , 1
2022/2/21, 48, 24, , , , 2
2022/2/22, 63, 35, , , 1, 3
2022/2/23, 84, 32, , , 1, 2
2022/2/24, 78, 25, , , , 2
2022/2/25, 62, 24, , 16, 1, 
2022/2/26, 55, 25, , 20, , 1
2022/2/27, 63, 23, , 11, , 1
2022/2/28, 60, 32, , 30, , 2
2022/3/1, 74, 22, , 26, , 1
2022/3/2, 53, 30, , 32, , 3
2022/3/3, 73, 34, , 36, , 3
2022/3/4, 83, 27, , 34, , 5
2022/3/5, 68, 28, , 41, , 10
2022/3/6, 74, , , , , 
2022/3/8, 76, 30, , 36, , 3
2022/3/9, 77, 30, , 25, , 3
2022/3/10, 69, 32, , 37, 1, 4
2022/3/11, 70, 23, , 38, , 6
2022/3/12, 63, 17, , 22, , 3
2022/3/13, 42, 9, , 15, , 2
2022/3/14, 34, 15, , 23, , 3
2022/3/15, 48, 13, , 19, , 3
2022/3/16, 31, 20, , 28, , 4
2022/3/17, 53, 27, , 34, , 4
2022/3/18, 70, 32, , 39, 1, 3
2022/3/19, 78, 28, , 24, , 3
2022/3/20, 64, 9, , 5, , 1
2022/3/21, 23, 13, , 9, , 1
2022/3/22, 25, 20, , 16, , 2
2022/3/23, 40, 27, , 30, , 4
2022/3/24, 56, 29, , 29, , 3
2022/3/25, 64, 36, , 36, , 3
2022/3/26, 63, 30, , 25, , 2
2022/3/27, 63, 16, , 20, , 1
2022/3/28, 44, 17, , 21, , 2
2022/3/29, 51, 18, , 16, , 2
2022/3/30, 50, 33, , 34, , 5
2022/3/31, 75, 10, , 13, , 1
2022/4/1, 20, 8, , 15, , 2
2021/10/2, 58, 29, , 30, , 7
2021/10/3, 66, 27, , 20, , 7
2021/10/4, 69, 20, , 26, , 5
2021/10/5, 53, 11, , 15, , 2
2021/10/6, 40, 18, , 18, , 3
2021/10/7, 42, 20, , 21, , 4
2021/10/8, 47, 15, , 13, , 2
2021/10/9, 41, 11, , 7, , 3
2021/10/10, 41, 7, , , , 2
2021/10/11, 35, 9, , 22, , 2
2021/10/12, 40, 14, , 12, , 2
2021/10/13, 37, 23, , 19, , 4
2021/10/14, 61, 33, , 37, 1, 7
2021/10/15, 75, 26, , 35, 1, 6
2021/10/16, 67, 14, , 18, , 4
2021/10/17, 29, 7, , 6, , 1
2021/10/18, 41, 8, , 15, , 2
2021/10/19, 29, 7, , 11, , 1
2021/10/20, 27, 11, , 11, , 1
2021/10/21, 35, 16, , 14, , 3
2021/10/22, 41, 26, , 22, , 3
2021/10/28, 61, 18, , 19, , 4
2021/10/29, 43, 19, , 16, , 3
2021/10/30, 50, 16, , 11, , 2
2021/10/31, 44, 13, , 10, , 3
2021/11/1, 41, 10, , 14, , 3
2021/11/2, 24, 7, , 7, , 2
2021/11/3, 22, 9, , 11, , 2
2021/11/4, 34, 26, , 21, , 4
2021/11/5, 63, 29, , 18, 1, 4
2021/11/6, 64, 25, , 15, 1, 3
2021/11/7, 60, 16, , 6, , 1
2021/11/8, 45, 20, , 12, , 2
2021/11/9, 37, 18, , 12, , 2
2021/11/10, 42, 18, , 11, , 2
2021/11/11, 38, 12, , 12, , 2
2021/11/12, 29, 12, , 8, , 1
2021/11/13, 33, 13, , 7, , 1
2021/11/14, 30, 14, , 8, , 1
2021/11/15, 36, 23, , 13, 1, 1
2021/11/16, 53, 34, , 28, 1, 2
2021/11/17, 65, 44, , 39, 1, 3
2021/11/18, 87, 34, , 36, 1, 6
2021/11/19, 77, 11, , 17, , 2
2021/11/20, 31, 9, , 6, , 1
2021/11/21, 25, 16, , 6, , 1
2021/11/22, 49, 26, , 24, , 2
2021/11/23, 55, 41, , 45, 1, 8
2021/11/24, 78, 27, , 12, , 1
2021/11/25, 48, 38, , 29, , 4
2021/11/26, 75, 34, , 38, , 5
2021/11/27, 73, 16, , , , 
2021/11/28, 49, 29, , , , 
2021/11/29, 63, 38, , 34, 1, 5
2021/11/30, 78, 22, , 28, , 5
2021/12/1, 53, 12, , 20, , 2
2021/12/2, 38, 21, , 17, , 2
2021/12/3, 46, 14, , 13, , 
2021/12/4, 34, 17, , 10, , 1
2021/12/5, 39, 17, , 8, , 1
2021/12/6, 48, 22, , 15, , 1
2021/12/7, 50, 10, , 9, , 1
2021/12/8, 26, 11, , 9, , 1
2021/12/9, 23, 14, , 10, , 1
2021/12/10, 27, 22, , 20, , 2
2021/12/11, 45, 32, , 27, , 2
2021/12/12, 66, 37, , 25, , 3
2021/12/13, 76, 20, , 30, , 6
2021/12/14, 57, 27, , 29, , 3
2021/12/15, 68, 23, , 27, , 5
2021/12/16, 66, 31, , 30, 1, 4
2021/12/17, 73, 13, , 16, , 1
2021/12/18, 41, 9, , 7, , 1
2021/12/19, 28, 8, , 6, , 1
2021/12/20, 25, 18, , 15, , 2
2021/12/21, 41, 30, , 28, 1, 3
2021/12/22, 66, 41, , 38, , 3
2021/12/23, 87, 16, , 8, , 1
2021/12/24, 31, 10, , 6, , 1
2021/12/25, 23, 14, , 5, , 1
2021/12/26, 34, 16, , 11, , 1
2021/12/27, 40, 24, , 27, , 2
2021/12/28, 54, 25, , 31, , 3
2021/12/29, 57, 25, , 22, , 1
