date, pm25, pm10, o3, no2, so2, co
2022/3/25, 55, , 33, 11, , 1
2022/3/26, 54, , 32, 13, , 2
2022/3/27, 41, , 31, 9, , 1
2022/3/28, 38, , 30, 6, , 1
2022/3/29, 49, , 35, 8, , 1
2022/3/30, 59, , 40, 6, , 1
2022/3/31, 53, , 38, 9, , 1
2022/4/1, 36, , 19, 6, , 1
2021/10/20, 26, , 19, 7, , 1
2021/10/21, 51, , 21, 7, , 1
2021/10/22, 69, , 30, 8, , 1
2021/10/23, 51, , 44, 11, , 1
2021/10/24, 50, , 44, 13, , 3
2021/10/25, 62, , 30, 4, , 1
2021/10/26, 54, , 25, 8, , 1
2021/10/27, 65, , 33, 9, , 1
2021/10/28, 70, , 23, 10, , 1
2021/10/29, 55, , 19, 10, , 1
2021/10/30, 59, , 24, 8, , 1
2021/10/31, 50, , 29, 5, , 1
2021/11/1, 52, , 17, 6, , 1
2021/11/2, 45, , 23, 6, , 1
2021/11/3, 34, , 21, 3, , 1
2021/11/4, 55, , 24, 5, , 1
2021/11/5, 64, , 47, 12, , 2
2021/11/6, 78, , 38, 12, , 2
2021/11/7, 63, , 52, 8, , 1
2021/11/8, 65, , 39, 4, , 1
2021/11/9, 48, , 33, 5, , 1
2021/11/10, 41, , 15, 7, , 1
2021/11/11, 42, , 26, 5, , 1
2021/11/12, 41, , 26, 8, , 1
2021/11/13, 29, , 17, 5, , 1
2021/11/14, 27, , 27, 5, , 1
2021/11/15, 41, , 38, 4, , 1
2021/11/16, 49, , 51, 6, , 1
2021/11/17, 49, , 58, 11, , 1
2021/11/18, 54, , 66, 17, , 2
2021/11/19, 66, , 19, 13, , 2
2021/11/20, 34, , 22, 9, , 1
2021/11/21, 31, , 21, 4, , 1
2021/11/22, 47, , 24, 3, , 1
2021/11/23, 45, , 50, 13, , 2
2021/11/24, 59, , 51, 18, , 3
2021/11/25, 59, , 32, 5, , 1
2021/11/26, 89, , 61, 13, , 2
