date, pm25, pm10, o3, no2, so2, co
2022/5/25, 70, 33, , 34, 1, 9
2022/5/26, 66, 34, , 36, 2, 11
2022/5/27, 72, 28, , 35, 1, 10
2022/5/28, 62, 41, , 39, 1, 20
2022/5/29, 87, 27, , 19, , 8
2022/5/30, 51, 29, , 31, , 10
2022/5/31, 61, 13, , 27, , 10
2022/6/1, 37, 26, , 29, 1, 11
2022/6/2, 66, 27, , 25, 1, 14
2022/6/3, 66, 14, , 25, 1, 10
2022/6/4, 38, 10, , 24, , 9
2022/6/5, 30, 15, , 18, , 9
2022/6/6, 43, 32, , 33, 1, 9
2022/6/7, 66, 35, , 38, 1, 10
2022/6/8, 72, 19, , 28, , 9
2022/6/9, 54, 23, , 27, , 7
2022/6/10, 64, 16, , 24, , 8
2022/6/11, 44, 11, , 26, , 8
2022/6/12, 40, 13, , 20, , 7
2022/6/13, 40, 20, , 35, 1, 10
2022/6/14, 52, 18, , 22, , 6
2022/6/15, 50, 30, , 30, 1, 9
2022/6/16, 62, 39, , 46, 1, 14
2022/6/17, 87, 44, , 43, 2, 16
2022/6/18, 89, 17, , 23, 1, 8
2022/6/19, 41, 14, , 22, , 7
2022/6/20, 48, 24, , 25, , 10
2022/6/21, 57, 35, , 32, , 11
2022/6/22, 76, 35, , 37, 1, 12
2022/6/23, 68, 43, , 51, 1, 18
2022/6/24, 84, 60, , 75, 1, 26
2022/6/25, 128, 39, , 44, 1, 17
2022/6/26, 89, 8, , 22, 1, 8
2022/6/27, 28, 17, , 19, 1, 8
2022/6/28, 44, 36, , 36, 1, 12
2022/6/29, 70, 44, , 40, 1, 13
2022/6/30, 86, 33, , 33, , 8
2022/7/1, 72, 48, , 46, 1, 14
2022/1/4, 29, 14, , 15, , 
2022/1/5, 32, 13, , 17, , 
2022/1/6, 30, 12, , 24, , 
2022/1/7, 37, 10, , 22, , 
2022/1/8, 29, 8, , 17, , 
2022/1/9, 26, 8, , 15, , 
2022/1/10, 23, 14, , 24, , 
2022/1/11, 38, 17, , 23, , 
