date, pm25, pm10, o3, no2, so2, co
2022/4/29, 59, 21, 18, 9, , 
2022/4/30, 48, 15, 16, 8, , 
2022/5/1, 23, 21, 17, 13, , 
2022/5/2, 47, 24, 20, 13, , 
2022/5/3, 51, 24, 18, 12, 1, 
2022/5/4, 50, 15, 12, 10, , 
2022/5/5, 32, 10, 14, 7, 1, 
2022/5/6, 31, 14, 13, 12, , 
2022/5/7, 30, 21, 11, 15, 1, 
2022/5/8, 40, 13, 14, 14, 2, 
2022/5/9, 32, 14, 16, 11, 1, 
2022/5/10, 39, 21, 14, 15, 1, 
2022/5/11, 40, 24, 17, 16, 1, 
2022/5/12, 54, 10, 12, 11, , 
2022/5/13, 27, 18, 16, 12, 1, 
2022/5/14, 45, 17, 15, 13, , 
2022/5/15, 34, 26, 23, 16, 1, 
2022/5/16, 61, 17, , 13, , 
2022/5/17, 47, 15, 17, 9, , 
2022/5/18, 41, 19, 17, 4, , 
2022/5/19, 33, 11, 16, 7, , 
2022/5/20, 26, 23, 14, 16, 2, 
2022/5/21, 45, 39, , 19, 1, 
2022/5/22, 63, 30, , 15, 1, 
2022/5/23, 60, 32, , 22, 2, 
2022/5/24, 65, 38, , 22, 2, 
2022/5/25, 74, 44, 16, 23, 2, 
2022/5/26, 79, 54, 16, 24, 1, 
2022/5/27, 77, 51, 17, 25, 1, 
2022/5/28, 72, 45, 23, 25, 2, 
2022/5/29, 73, 40, 29, 18, 1, 
2022/5/30, 70, 16, 21, 12, , 
2022/5/31, 38, 4, 14, 7, , 
2022/6/1, 23, 7, 8, 12, , 
2022/6/2, 25, 7, 8, 6, , 
2022/6/3, 31, 4, 14, 6, , 
2022/6/4, 17, 7, 18, 11, , 
2022/6/5, 30, 18, 15, 15, 1, 
2022/6/6, 34, 33, 15, 17, , 
2022/6/7, 65, 23, 6, 19, 1, 
2022/6/8, 47, 9, 12, 9, , 
2022/6/9, 34, 19, 5, 16, 1, 
2022/6/10, 39, 9, 13, 9, , 
2022/6/11, 29, 12, 12, 5, , 
2022/6/12, 30, 17, 1, 11, , 
2022/6/13, 42, 22, , 14, 1, 
2022/6/14, 39, 25, , 17, 2, 
2022/6/15, 45, 28, 10, 18, 1, 
2022/6/16, 51, 39, 21, 18, 1, 
2022/6/17, 63, 43, , 24, , 
2022/6/18, 68, 14, , 8, , 
2022/6/19, 38, 19, , 17, , 
2022/6/20, 39, 22, , 16, 1, 
2022/6/21, 44, 29, 11, 17, , 
2022/6/22, 53, 37, 19, 20, , 
2022/6/23, 65, 61, 11, 35, 2, 
2022/6/24, 90, 33, 20, 17, 1, 
2022/6/25, 61, 20, 17, 11, 1, 
2022/6/26, 46, 10, 14, 14, , 
2022/6/27, 20, 14, 12, 16, , 
2022/6/28, 31, 25, 14, 15, , 
2022/6/29, 44, 32, 28, 15, , 
2022/6/30, 55, 21, 14, 12, , 
2022/7/1, 55, 32, 16, 18, 1, 
2022/1/4, 53, 22, 14, 15, , 
2022/1/5, 46, 16, 20, 12, , 
2022/1/6, 35, 14, 16, 11, , 
2022/1/7, 35, 16, , 17, , 
2022/1/8, 68, 9, 9, 18, , 
2022/1/9, 28, 9, , , , 
2022/1/10, 27, 10, 9, 7, , 
2022/1/11, 33, 14, 9, 9, , 
2022/1/12, 35, 12, 6, 7, , 
2022/1/13, 34, 16, 6, 9, 1, 
2022/1/14, 39, 20, 17, 10, 1, 
2022/1/15, 45, 26, 10, 10, 1, 
2022/1/16, 51, 19, 23, 9, , 
2022/1/17, 36, 24, 37, 15, , 
2022/1/18, 45, 31, 27, 14, 5, 
2022/1/19, 62, 25, 23, 11, , 
2022/1/20, 48, 30, 29, 11, 2, 
2022/1/21, 57, 26, 18, 8, 1, 
2022/1/22, 46, 20, 16, 9, 1, 
2022/1/23, 40, 25, 16, 10, 7, 
2022/1/24, 46, 25, 13, 9, , 
2022/1/25, 43, 24, 18, 9, , 
2022/1/26, 45, 36, 21, 16, 1, 
2022/1/27, 60, 26, 41, 11, , 
2022/1/28, 41, 12, 15, 8, , 
2022/1/29, 26, 12, 13, 3, , 
2022/1/30, 22, 10, 15, 12, , 
2022/1/31, 29, 16, 9, 14, , 
2022/2/1, 38, 15, 13, 11, , 
2022/2/2, 36, 17, 14, 12, 1, 
2022/2/3, 38, 19, 13, 10, , 
2022/2/4, 43, 21, 21, 12, , 
2022/2/5, 45, 16, 26, 13, , 
2022/2/6, 41, 16, 19, 8, , 
2022/2/7, 32, 10, 13, 12, , 
2022/2/8, 32, 13, 11, 10, , 
2022/2/9, 39, 15, 17, 9, 1, 
2022/2/10, 39, 15, 12, 10, 1, 
2022/2/11, 39, 13, 13, 11, 2, 
2022/2/12, 42, 9, 10, 7, 1, 
2022/2/13, 24, 13, 14, 12, 1, 
2022/2/14, 35, 22, 25, 12, 2, 
2022/2/15, 50, 12, 14, 9, , 
2022/2/16, 33, 17, 11, 9, 1, 
2022/2/17, 34, 20, 11, 12, 2, 
2022/2/18, 42, 12, 16, 8, 1, 
2022/2/19, 32, 14, 18, 13, 2, 
2022/2/20, 40, 23, 16, 14, 2, 
2022/2/21, 48, 25, 21, 13, 2, 
2022/2/22, 56, 23, 28, 15, 2, 
2022/2/23, 51, 25, 20, 15, 2, 
2022/2/24, 58, 19, 17, 11, 1, 
2022/2/25, 48, 19, 2, 9, 1, 
2022/2/26, 40, 21, , 11, 1, 
2022/2/27, 50, 17, 15, 11, , 
2022/2/28, 42, 23, 19, 11, 2, 
2022/3/1, 53, 20, 21, 11, , 
2022/3/2, 50, 22, 28, 15, 1, 
2022/3/3, 59, 26, 23, 14, 1, 
2022/3/4, 56, 15, 22, 12, , 
2022/3/5, 36, 31, 1, 23, 1, 
2022/3/6, 55, , , , , 
2022/3/8, 60, 27, 31, 14, 2, 
2022/3/9, 60, 19, 8, 7, 1, 
2022/3/10, 39, 28, 20, 13, 1, 
2022/3/11, 58, 20, 29, 17, 1, 
2022/3/12, 41, 10, 16, 8, , 
2022/3/13, 26, 10, 2, 15, , 
2022/3/14, 27, 9, 7, 8, , 
2022/3/15, 26, 6, 9, 6, , 
2022/3/16, 21, 16, 11, 9, , 
2022/3/17, 37, 13, 11, 7, , 
2022/3/18, 28, 30, 17, 15, 1, 
2022/3/19, 60, 21, 20, 8, 4, 
2022/3/20, 45, 9, 11, 10, , 
2022/3/21, 30, 13, 6, 9, , 
2022/3/22, 28, 18, 13, 9, , 
2022/3/23, 31, 25, 14, 13, 2, 
2022/3/24, 47, 37, 16, 15, , 
2022/3/25, 56, 22, 19, 14, , 
2022/3/26, 60, 30, 18, 15, , 
2022/3/27, 55, 20, 11, 13, , 
2022/3/28, 44, 17, 17, 10, 1, 
2022/3/29, 34, 14, 12, 9, , 
2022/3/30, 30, 20, 17, 10, , 
2022/3/31, 40, 11, 12, 8, 1, 
2022/4/1, 32, 6, 12, 8, , 
2021/10/2, 41, 23, 19, 13, 3, 
2021/10/3, 43, 18, 9, 9, 1, 
2021/10/4, 50, 10, 10, 22, , 
2021/10/5, 27, 12, , , , 
2021/10/6, 26, 16, 15, 8, , 
2021/10/7, 28, 20, 16, 6, , 
2021/10/8, 34, 21, 16, 8, , 
2021/10/9, 28, 18, 15, 5, , 
2021/10/10, 26, 12, 15, 6, , 
2021/10/11, 25, 14, 15, 6, , 
2021/10/12, 25, 21, 17, 10, 1, 
2021/10/13, 37, 35, 15, 14, , 
2021/10/14, 50, 41, 18, 14, , 
2021/10/15, 58, 23, 19, 11, , 
2021/10/16, 41, 16, 19, 4, , 
2021/10/17, 26, 13, 13, 7, , 
2021/10/18, 25, 6, 16, 8, , 
2021/10/19, 16, 5, 16, 5, , 
2021/10/20, 14, 10, 15, 8, , 
2021/10/21, 17, 8, 14, 8, , 
2021/10/22, 18, 18, 17, 11, , 
2021/10/23, 37, 30, 19, 12, , 
2021/10/24, 48, 22, 20, 9, , 
2021/10/25, 41, 28, 16, 14, 1, 
2021/10/26, 42, 31, 17, 9, , 
2021/10/27, 43, 22, 12, 11, , 
2021/10/28, 37, 12, 9, 9, , 
2021/10/29, 23, 24, 11, 7, , 
2021/10/30, 36, 16, 17, 4, , 
2021/10/31, 22, 17, 11, 4, , 
2021/11/1, 24, 13, 10, 6, , 
2021/11/2, 23, 8, 11, 4, , 
2021/11/3, 20, 12, 10, 4, , 
2021/11/4, 19, 16, 11, 7, , 
2021/11/5, 25, 22, 11, 8, 1, 
2021/11/6, 41, 20, 15, 7, 1, 
2021/11/7, 31, 13, 13, 5, , 
2021/11/8, 23, 19, 13, 8, 1, 
2021/11/9, 31, 15, 10, 6, , 
2021/11/10, 25, 11, 15, 6, , 
2021/11/11, 22, 12, 13, 6, , 
2021/11/12, 21, 11, 12, 7, , 
2021/11/13, 19, 13, 13, 6, , 
2021/11/14, 27, 16, 15, 8, , 
2021/11/15, 29, 26, 19, 10, 1, 
2021/11/16, 44, 28, 21, 10, , 
2021/11/17, 49, 32, 17, 13, , 
2021/11/18, 53, 20, 14, 9, , 
2021/11/19, 43, 9, 17, 8, , 
2021/11/20, 30, 15, 11, 7, , 
2021/11/21, 31, 16, 13, 6, , 
2021/11/22, 29, 22, 15, 12, 2, 
2021/11/23, 41, 34, 34, 19, 2, 
2021/11/24, 61, 28, 17, 4, , 
2021/11/25, 46, 28, 13, 11, , 
2021/11/26, 53, 28, 15, 14, , 
2021/11/27, 54, 11, 22, 4, , 
2021/11/28, 27, 12, 21, 5, , 
2021/11/29, 33, 29, 20, 17, , 
2021/11/30, 49, 23, 21, 10, , 
2021/12/1, 34, 19, 18, 8, 2, 
2021/12/2, 42, 13, 12, 5, , 
2021/12/3, 23, 11, 9, 6, , 
2021/12/4, 19, 16, 15, 6, , 
2021/12/5, 26, 22, 17, 7, 1, 
2021/12/6, 33, 12, 9, 8, , 
2021/12/7, 30, 12, 2, 4, , 
2021/12/8, 20, 13, 7, 9, , 
2021/12/9, 27, 15, 11, 8, , 
2021/12/10, 36, 17, 23, 9, 1, 
2021/12/11, 34, 22, 19, , 1, 
2021/12/12, 43, 26, 23, , , 
2021/12/13, 51, 21, 18, 14, , 
2021/12/14, 49, 25, 22, 18, , 
2021/12/15, 60, 20, 12, 15, , 
2021/12/16, 53, 19, 15, 11, , 
2021/12/17, 45, 12, 8, 8, , 
2021/12/18, 32, 12, 9, 6, , 
2021/12/19, 23, 11, 11, 5, , 
2021/12/20, 23, 19, , 8, 1, 
2021/12/21, 40, 24, 21, 12, 2, 
2021/12/22, 48, 29, 21, 14, 1, 
2021/12/23, 58, 15, 14, 2, , 
2021/12/24, 29, 15, 11, 5, , 
2021/12/25, 24, 19, 13, 5, 1, 
2021/12/26, 41, 21, 20, 9, 1, 
2021/12/27, 40, 18, 19, 11, , 
2021/12/28, 39, 15, 22, 10, , 
2021/12/29, 32, 18, 24, 13, 2, 
2021/12/30, 44, 13, 14, 9, , 
